x  y  frame  time(s)
146 120 4 0.159047
150 120 6 0.238571
150 120 8 0.318094
152 122 9 0.357856
152 120 13 0.516903
152 120 14 0.556665
152 120 15 0.596427
152 120 18 0.715712
152 120 19 0.755474
152 120 22 0.874760
152 120 25 0.994045
152 120 26 1.033807
152 120 31 1.232616
152 120 36 1.431425
150 120 37 1.471187
150 118 38 1.510948
146 116 40 1.590472
144 114 41 1.630234
140 110 43 1.709757
138 108 44 1.749519
130 100 47 1.868805
124 94 49 1.948328
118 88 51 2.027852
114 86 52 2.067614
112 82 53 2.107375
106 78 58 2.306184
106 76 59 2.345946
106 78 71 2.823088
116 76 87 3.459277
118 76 88 3.499038
136 74 92 3.658086
152 74 94 3.737609
178 72 100 3.976180
182 72 101 4.015942
186 72 102 4.055704
194 72 106 4.214751
194 72 107 4.254513
194 72 108 4.294274
194 72 109 4.334036
194 70 110 4.373798
194 72 112 4.453322
194 72 113 4.493083
194 72 114 4.532845
194 70 116 4.612369
194 72 117 4.652131
194 72 119 4.731654
194 72 120 4.771416
194 72 121 4.811178
192 72 130 5.169034
194 74 131 5.208796
192 76 134 5.328081
192 76 135 5.367843
192 78 138 5.487128
194 82 146 5.805223
194 82 147 5.844985
194 82 150 5.964270
194 82 151 6.004032
194 82 153 6.083555
194 84 157 6.242603
194 82 160 6.361888
194 84 162 6.441412
192 84 163 6.481173
190 86 165 6.560697
188 88 166 6.600459
184 92 167 6.640221
184 94 168 6.679982
178 100 169 6.719744
176 102 170 6.759506
158 122 175 6.958315
152 128 177 7.037839
152 128 178 7.077600
148 134 180 7.157124
142 140 182 7.236648
140 144 196 7.793313
138 144 199 7.912598
140 144 200 7.952360
140 138 203 8.071645
142 136 204 8.111407
158 84 216 8.588549
162 76 219 8.707834
162 74 221 8.787358
164 72 226 8.986167
164 72 228 9.065690
164 72 229 9.105452
164 72 230 9.145214
164 74 231 9.184976
164 72 233 9.264499
162 78 247 9.821165
160 92 253 10.059735
158 100 254 10.099497
158 104 256 10.179021
154 118 260 10.338068
154 124 262 10.417592
152 132 267 10.616401
152 132 271 10.775448
152 132 272 10.815210
152 132 277 11.014019
152 132 282 11.212828
154 132 284 11.292351
158 132 288 11.451398
180 196 289 11.491160
174 130 297 11.809255
176 130 298 11.849016
176 130 299 11.888778
178 130 300 11.928540
180 130 302 12.008064
180 130 303 12.047825
182 130 318 12.644252
182 130 319 12.684014
182 130 320 12.723776
180 130 322 12.803300
180 130 323 12.843061
174 126 326 12.962347
166 120 330 13.121394
158 114 333 13.240679
152 110 335 13.320203
140 100 340 13.519012
138 100 341 13.558774
136 98 342 13.598536
136 98 344 13.678059
136 98 345 13.717821
134 98 347 13.797345
134 98 363 14.433533
134 98 366 14.552819
136 96 370 14.711866
148 96 374 14.870913
148 96 375 14.910675
158 96 378 15.029960
164 96 379 15.069722
192 94 390 15.507102
194 94 391 15.546864
194 94 394 15.666149
194 94 395 15.705911
194 94 399 15.864958
194 94 404 16.063767
194 94 406 16.143291
194 94 407 16.183053
192 96 411 16.342100
192 98 412 16.381862
190 98 413 16.421623
190 98 414 16.461385
186 100 417 16.580671
184 104 421 16.739718
210 196 422 16.779480
182 104 423 16.819241
182 106 424 16.859003
180 106 425 16.898765
180 106 426 16.938527
180 106 428 17.018050
180 106 431 17.137336
180 106 432 17.177098
180 106 433 17.216859
180 106 434 17.256621
180 106 435 17.296383
180 106 436 17.336145
180 106 437 17.375907
180 106 438 17.415668
180 106 440 17.495192
180 106 444 17.654239
180 106 445 17.694001
180 106 446 17.733763
178 106 448 17.813286
174 106 451 17.932572
174 106 452 17.972334
162 108 458 18.210904
160 108 460 18.290428
156 108 462 18.369952
156 108 463 18.409713
154 108 464 18.449475
152 108 465 18.489237
150 108 467 18.568761
150 108 469 18.648284
150 108 470 18.688046
150 108 474 18.847093
150 108 478 19.006140
150 108 480 19.085664
150 108 484 19.244711
150 108 485 19.284473
150 108 486 19.324235
150 108 487 19.363997
150 108 488 19.403758
152 110 490 19.483282
162 116 495 19.682091
166 120 496 19.721853
186 132 503 20.000185
186 134 504 20.039947
188 136 505 20.079709
196 140 509 20.238756
196 140 510 20.278518
196 140 512 20.358042
196 140 513 20.397803
196 140 514 20.437565
196 140 515 20.477327
196 140 516 20.517089
196 140 517 20.556851
198 140 519 20.636374
198 140 520 20.676136
200 140 521 20.715898
202 140 523 20.795421
202 140 524 20.835183
202 140 525 20.874945
202 138 529 21.033992
202 138 530 21.073754
202 138 532 21.153278
202 138 533 21.193039
202 138 534 21.232801
200 138 535 21.272563
200 138 536 21.312325
198 138 540 21.471372
198 138 541 21.511134
198 138 542 21.550896
198 136 546 21.709943
198 134 547 21.749705
200 134 549 21.829228
198 132 550 21.868990
200 132 552 21.948514
200 130 554 22.028037
198 130 555 22.067799
198 130 557 22.147323
198 128 558 22.187084
200 128 559 22.226846
200 128 560 22.266608
200 128 563 22.385893
200 128 565 22.465417
200 128 566 22.505179
198 128 568 22.584702
198 128 571 22.703988
200 128 573 22.783511
200 128 575 22.863035
200 128 576 22.902797
198 126 577 22.942559
196 124 579 23.022082
194 122 580 23.061844
194 120 581 23.101606
184 106 586 23.300415
168 84 595 23.658271
168 82 598 23.777556
166 82 602 23.936604
166 82 604 24.016127
166 82 610 24.254698
168 84 613 24.373983
168 84 615 24.453507
168 86 616 24.493269
168 86 617 24.533031
168 88 618 24.572792
168 90 620 24.652316
168 98 625 24.851125
168 104 630 25.049934
168 104 631 25.089696
168 104 636 25.288505
168 104 637 25.328267
168 104 638 25.368028
168 104 640 25.447552
168 106 645 25.646361
168 106 649 25.805408
168 106 650 25.845170
168 106 651 25.884932
168 106 652 25.924694
168 106 653 25.964455
162 106 660 26.242788
160 106 661 26.282550
158 106 662 26.322312
156 106 664 26.401835
148 108 667 26.521121
144 108 670 26.640406
142 108 671 26.680168
142 108 672 26.719930
140 108 673 26.759691
138 108 675 26.839215
138 108 679 26.998262
138 108 682 27.117548
138 108 684 27.197071
138 108 687 27.316357
138 108 688 27.356118
138 108 693 27.554927
138 108 694 27.594689
136 106 696 27.674213
136 106 697 27.713975
134 106 698 27.753736
128 100 702 27.912784
124 98 704 27.992307
120 96 706 28.071831
118 94 707 28.111593
116 94 708 28.151354
112 90 711 28.270640
110 88 714 28.389925
108 88 720 28.628496
108 88 726 28.867067
108 88 727 28.906829
108 88 728 28.946590
108 88 729 28.986352
108 88 731 29.065876
108 88 735 29.224923
108 88 736 29.264685
108 88 737 29.304447
110 108 748 29.741826
110 110 749 29.781588
110 122 757 30.099683
110 122 758 30.139444
110 122 759 30.179206
110 122 769 30.576824
110 122 774 30.775633
110 122 778 30.934680
112 122 781 31.053966
110 120 782 31.093728
112 120 783 31.133489
114 110 788 31.332298
116 102 791 31.451584
116 96 793 31.531107
118 92 794 31.570869
118 86 796 31.650393
122 76 803 31.928725
120 76 804 31.968487
120 74 806 32.048011
122 74 809 32.167296
120 74 811 32.246820
122 74 812 32.286582
120 200 825 32.803485
120 76 828 32.922770
120 78 830 33.002294
120 78 831 33.042056
18 168 833 33.121579
122 96 843 33.519197
122 96 844 33.558959
122 98 847 33.678245
124 100 853 33.916815
122 100 855 33.996339
122 100 861 34.234910
122 100 863 34.314433
122 100 865 34.393957
122 100 873 34.712051
122 100 876 34.831337
122 102 878 34.910860
122 106 884 35.149431
122 106 885 35.189193
122 108 887 35.268717
122 110 892 35.467526
122 110 895 35.586811
122 110 896 35.626573
122 110 901 35.825382
122 110 909 36.143476
124 112 911 36.223000
124 118 916 36.421809
124 134 923 36.700141
124 134 924 36.739903
126 136 925 36.779665
126 140 927 36.859189
126 144 940 37.376092
126 144 947 37.654425
128 144 948 37.694186
130 142 949 37.733948
132 142 950 37.773710
142 136 953 37.892995
146 134 955 37.972519
158 126 958 38.091804
172 120 961 38.211090
176 118 962 38.250852
184 114 964 38.330375
196 106 970 38.568946
196 106 971 38.608708
196 106 972 38.648470
196 106 973 38.688231
196 106 974 38.727993
196 106 975 38.767755
196 106 976 38.807517
196 106 977 38.847279
196 106 979 38.926802
196 106 980 38.966564
196 106 981 39.006326
194 106 985 39.165373
194 106 986 39.205135
194 106 989 39.324420
192 106 991 39.403944
190 106 992 39.443706
156 116 1003 39.881085
144 120 1007 40.040133
140 120 1009 40.119656
138 122 1011 40.199180
136 122 1013 40.278703
136 122 1015 40.358227
136 122 1025 40.755845
138 122 1027 40.835369
136 122 1033 41.073939
136 120 1039 41.312510
136 114 1043 41.471557
136 112 1044 41.511319
136 100 1050 41.749890
134 94 1053 41.869175
134 88 1058 42.067984
134 88 1059 42.107746
134 88 1063 42.266793
134 88 1065 42.346317
134 88 1070 42.545126
140 84 1078 42.863220
148 82 1081 42.982506
152 82 1083 43.062029
154 80 1084 43.101791
162 78 1086 43.181315
170 76 1090 43.340362
172 74 1091 43.380124
174 74 1092 43.419886
176 74 1093 43.459647
178 74 1102 43.817504
178 74 1103 43.857265
178 72 1105 43.936789
178 72 1109 44.095836
178 72 1110 44.135598
178 72 1111 44.175360
178 74 1116 44.374169
178 72 1120 44.533216
178 72 1123 44.652501
178 76 1125 44.732025
178 76 1126 44.771787
176 86 1129 44.891072
176 92 1130 44.930834
174 98 1132 45.010358
174 106 1133 45.050119
172 114 1136 45.169405
170 122 1137 45.209167
170 130 1140 45.328452
168 134 1141 45.368214
168 142 1146 45.567023
168 142 1147 45.606785
168 142 1148 45.646546
168 142 1156 45.964641
168 144 1157 46.004403
168 144 1159 46.083926
168 144 1160 46.123688
168 144 1162 46.203212
166 142 1165 46.322497
166 142 1166 46.362259
166 142 1167 46.402021
154 140 1173 46.640591
150 140 1175 46.720115
136 136 1180 46.918924
132 136 1181 46.958686
132 136 1182 46.998448
128 134 1184 47.077971
124 134 1187 47.197257
124 134 1201 47.753922
124 134 1206 47.952731
128 130 1209 48.072016
132 126 1211 48.151540
136 122 1213 48.231063
140 120 1214 48.270825
140 120 1215 48.310587
144 114 1216 48.350349
150 110 1219 48.469634
158 104 1222 48.588920
160 100 1224 48.668443
164 96 1230 48.907014
164 96 1236 49.145585
164 98 1237 49.185347
164 96 1241 49.344394
164 96 1250 49.702250
164 98 1254 49.861297
166 98 1256 49.940821
166 100 1257 49.980583
168 102 1259 50.060106
168 104 1260 50.099868
170 104 1261 50.139630
170 106 1262 50.179392
172 108 1263 50.219153
174 110 1265 50.298677
176 114 1268 50.417962
178 116 1270 50.497486
178 118 1272 50.577010
180 118 1273 50.616771
180 120 1277 50.775819
180 118 1278 50.815580
180 120 1283 51.014389
180 120 1284 51.054151
180 120 1285 51.093913
180 120 1286 51.133675
180 120 1287 51.173437
180 118 1290 51.292722
180 118 1291 51.332484
178 118 1292 51.372246
178 118 1293 51.412007
176 116 1295 51.491531
170 112 1298 51.610816
166 110 1300 51.690340
162 106 1302 51.769864
156 102 1305 51.889149
154 102 1306 51.928911
154 100 1307 51.968673
150 98 1313 52.207243
150 98 1314 52.247005
150 98 1316 52.326529
150 98 1317 52.366291
150 98 1318 52.406052
150 98 1319 52.445814
150 98 1320 52.485576
130 202 1321 52.525338
150 98 1322 52.565100
150 98 1323 52.604861
150 98 1324 52.644623
150 98 1325 52.684385
150 98 1327 52.763909
150 98 1329 52.843432
150 98 1331 52.922956
150 100 1333 53.002479
142 118 1344 53.439859
142 120 1345 53.479621
140 128 1349 53.638668
138 130 1350 53.678430
138 132 1351 53.718192
138 132 1353 53.797715
138 134 1354 53.837477
138 134 1355 53.877239
138 134 1360 54.076048
138 134 1361 54.115810
136 134 1373 54.592951
136 134 1377 54.751999
136 134 1379 54.831522
140 134 1383 54.990569
142 134 1384 55.030331
150 134 1389 55.229140
152 134 1391 55.308664
162 132 1396 55.507473
168 132 1404 55.825567
168 132 1405 55.865329
166 132 1410 56.064138
166 132 1412 56.143662
166 132 1417 56.342471
166 132 1420 56.461756
166 132 1426 56.700327
166 130 1430 56.859374
164 130 1431 56.899136
158 124 1435 57.058183
154 120 1436 57.097945
154 120 1437 57.137707
150 116 1438 57.177468
142 108 1441 57.296754
138 106 1442 57.336516
128 96 1445 57.455801
126 92 1447 57.535325
124 92 1448 57.575086
120 88 1452 57.734134
120 88 1453 57.773895
120 88 1455 57.853419
120 88 1459 58.012466
120 88 1460 58.052228
120 88 1466 58.290799
120 88 1469 58.410084
120 88 1470 58.449846
120 90 1475 58.648655
120 92 1476 58.688417
126 100 1480 58.847464
136 114 1484 59.006511
142 126 1488 59.165558
144 130 1489 59.205320
146 134 1491 59.284844
150 140 1494 59.404129
152 144 1498 59.563176
152 144 1499 59.602938
152 144 1500 59.642700
152 142 1504 59.801747
152 144 1512 60.119842
152 144 1513 60.159603
152 144 1515 60.239127
152 144 1518 60.358412
152 144 1519 60.398174
152 144 1521 60.477698
152 142 1522 60.517460
154 142 1523 60.557221
154 140 1524 60.596983
158 130 1528 60.756030
158 128 1529 60.795792
162 118 1531 60.875316
174 90 1540 61.233172
176 86 1542 61.312696
178 86 1543 61.352457
178 84 1545 61.431981
178 84 1546 61.471743
178 84 1547 61.511505
178 84 1548 61.551266
178 84 1549 61.591028
178 84 1550 61.630790
178 84 1551 61.670552
178 84 1553 61.750075
178 84 1554 61.789837
178 84 1555 61.829599
178 84 1556 61.869361
178 84 1557 61.909123
178 84 1558 61.948884
178 84 1566 62.266979
176 84 1568 62.346502
178 84 1571 62.465788
176 90 1576 62.664597
174 92 1577 62.704359
174 94 1578 62.744120
172 96 1579 62.783882
166 114 1588 63.141738
164 116 1589 63.181500
164 118 1590 63.221262
164 118 1591 63.261024
164 120 1593 63.340547
164 120 1597 63.499595
164 120 1600 63.618880
164 120 1608 63.936974
164 120 1609 63.976736
164 120 1612 64.096022
164 120 1613 64.135783
