x  y  frame  time(s)
464 148 139 2.317630
464 148 140 2.334304
272 268 423 7.052933
272 268 424 7.069606
272 268 426 7.102954
276 268 429 7.152974
276 262 432 7.202995
276 262 433 7.219669
274 262 434 7.236342
276 262 437 7.286363
272 264 439 7.319710
272 262 442 7.369731
270 260 444 7.403078
270 260 445 7.419752
272 262 446 7.436426
270 260 447 7.453099
264 258 455 7.586488
262 256 456 7.603162
264 256 460 7.669856
264 256 461 7.686530
266 256 462 7.703203
264 254 464 7.736550
264 254 468 7.803245
266 252 473 7.886613
266 252 474 7.903286
268 256 476 7.936634
268 256 477 7.953307
268 256 478 7.969981
268 254 479 7.986654
272 258 481 8.020002
272 258 482 8.036675
274 260 484 8.070022
276 258 489 8.153390
274 256 492 8.203411
274 250 497 8.286779
274 248 498 8.303453
274 248 499 8.320126
276 250 505 8.420168
274 252 509 8.486862
274 254 512 8.536883
272 256 515 8.586904
272 256 516 8.603578
270 254 517 8.620251
270 256 519 8.653598
270 256 520 8.670272
268 256 521 8.686946
270 258 522 8.703619
270 260 525 8.753640
272 260 526 8.770314
270 260 528 8.803661
270 260 529 8.820334
272 262 531 8.853682
272 262 532 8.870355
272 262 535 8.920376
272 262 536 8.937050
274 264 546 9.103786
274 264 547 9.120459
272 266 548 9.137133
270 264 551 9.187154
272 264 552 9.203827
272 264 553 9.220501
272 264 554 9.237174
274 262 559 9.320542
274 262 563 9.387237
274 262 565 9.420584
274 262 566 9.437258
272 264 579 9.654014
274 262 581 9.687362
274 262 582 9.704035
282 272 590 9.837424
282 272 591 9.854098
284 274 592 9.870771
286 276 593 9.887445
294 282 597 9.954139
296 284 598 9.970813
304 290 602 10.037507
304 290 603 10.054181
310 294 605 10.087528
318 302 609 10.154222
338 316 621 10.354306
342 322 626 10.437674
344 322 627 10.454347
344 322 628 10.471021
348 324 631 10.521042
348 322 634 10.571062
354 322 642 10.704451
352 320 643 10.721125
354 320 645 10.754472
354 320 646 10.771146
354 320 648 10.804493
354 320 649 10.821166
354 320 651 10.854514
354 320 652 10.871187
354 320 653 10.887861
352 320 664 11.071270
354 320 665 11.087944
354 320 666 11.104618
352 320 668 11.137965
352 320 669 11.154638
352 320 673 11.221333
352 320 674 11.238006
352 320 675 11.254680
352 322 676 11.271354
352 318 679 11.321374
352 320 682 11.371395
352 320 683 11.388069
352 316 685 11.421416
352 316 686 11.438090
352 314 693 11.554805
352 314 695 11.588152
352 314 696 11.604826
352 304 711 11.854930
352 304 712 11.871603
352 304 715 11.921624
352 306 719 11.988318
352 306 720 12.004992
352 304 725 12.088360
352 304 726 12.105034
350 304 731 12.188402
354 304 735 12.255096
352 306 738 12.305117
354 304 748 12.471853
354 304 749 12.488526
352 304 752 12.538547
350 302 759 12.655262
348 300 764 12.738630
348 298 765 12.755304
344 294 766 12.771978
344 294 767 12.788651
344 294 768 12.805325
340 290 771 12.855346
332 270 780 13.005408
326 264 782 13.038755
326 264 783 13.055429
314 240 792 13.205491
310 234 796 13.272186
302 222 802 13.372227
300 216 806 13.438922
300 214 814 13.572310
300 214 817 13.622331
298 214 818 13.639005
298 214 819 13.655678
298 212 820 13.672352
298 212 821 13.689026
298 212 826 13.772394
302 212 831 13.855762
300 212 835 13.922456
298 212 836 13.939130
300 212 837 13.955803
300 212 838 13.972477
300 210 848 14.139213
300 212 852 14.205907
300 212 853 14.222581
300 212 854 14.239254
300 210 855 14.255928
302 212 858 14.305949
300 210 859 14.322622
300 214 865 14.422664
300 214 866 14.439338
300 218 868 14.472685
300 220 869 14.489358
300 220 872 14.539379
300 222 874 14.572726
300 222 875 14.589400
302 224 876 14.606074
302 228 878 14.639421
302 228 879 14.656094
300 228 880 14.672768
300 236 885 14.756136
300 240 888 14.806157
300 246 893 14.889525
298 250 897 14.956219
298 252 898 14.972893
298 256 902 15.039587
298 256 903 15.056261
298 256 904 15.072934
296 260 911 15.189650
296 260 912 15.206323
298 258 913 15.222997
298 262 919 15.323038
298 260 920 15.339712
298 260 921 15.356386
296 262 929 15.489774
296 262 930 15.506448
296 260 932 15.539795
308 262 941 15.689858
308 262 942 15.706531
310 264 943 15.723205
310 264 944 15.739878
312 264 945 15.756552
312 264 946 15.773226
312 264 947 15.789899
312 264 948 15.806573
312 264 949 15.823246
312 264 950 15.839920
310 262 951 15.856594
306 262 954 15.906614
306 262 955 15.923288
306 264 956 15.939962
304 264 957 15.956635
304 264 958 15.973309
302 262 964 16.073350
302 262 965 16.090024
298 262 969 16.156718
296 262 970 16.173392
296 262 971 16.190066
294 262 972 16.206739
288 262 977 16.290107
288 262 978 16.306781
280 264 985 16.423496
272 262 989 16.490190
272 264 990 16.506864
272 262 991 16.523538
272 262 992 16.540211
266 260 994 16.573558
262 258 998 16.640253
260 258 1000 16.673600
260 258 1001 16.690274
254 258 1004 16.740294
254 258 1005 16.756968
252 258 1006 16.773642
252 260 1009 16.823662
252 258 1011 16.857010
250 260 1012 16.873683
250 260 1013 16.890357
250 260 1014 16.907030
248 258 1015 16.923704
248 256 1018 16.973725
248 256 1020 17.007072
248 256 1021 17.023746
248 256 1022 17.040419
250 256 1023 17.057093
